,EnrolledElectiveBefore,GradeAvgFromPreviousElective,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5
0,0.0,0.0,64.73582711093647,3.0,2.0,78.48508589716685,0.0,0.0,76.27107463275965,0.0,0.0
1,0.0,0.0,62.065140209063586,3.0,3.0,77.06836255164444,0.0,0.0,68.94802857880076,0.0,0.0
2,1.0,65.40871056816422,72.9830392094864,3.0,4.0,64.99796413935562,59.323496914217245,0.0,0.0,75.98817811392755,0.0
3,1.0,53.29934870162397,72.74080153541367,2.0,4.0,75.2871351841281,0.0,55.95746346830802,0.0,67.70230075657044,0.0
4,0.0,0.0,63.45171237458369,2.0,1.0,76.61729641169728,0.0,0.0,73.7278537109358,0.0,0.0
5,0.0,0.0,76.55828807277118,1.0,3.0,67.61696269593985,0.0,0.0,0.0,0.0,87.3982052337647
6,0.0,0.0,75.2427669547679,1.0,3.0,67.17450267362423,0.0,0.0,0.0,81.8704046130458,0.0
7,0.0,0.0,62.17197747549897,2.0,4.0,87.00405667696674,0.0,0.0,73.63214216588675,0.0,0.0
8,0.0,0.0,58.6503504355408,1.0,4.0,70.25493139102957,0.0,0.0,0.0,66.22576336369721,0.0
9,0.0,0.0,68.54440184033753,1.0,4.0,84.23995886686679,0.0,0.0,0.0,0.0,78.5444999696926
10,1.0,80.6588333234558,66.59915268077883,3.0,1.0,82.88966760355942,0.0,0.0,82.58531666976741,0.0,0.0
11,1.0,49.80716851434886,72.29389117984624,1.0,3.0,82.84804042121178,55.89640977219825,67.70744858429731,0.0,0.0,0.0
12,0.0,0.0,64.4908338079754,3.0,1.0,62.380022779601035,0.0,0.0,0.0,72.4527786482151,0.0
13,1.0,69.39188439121135,76.97826358287757,1.0,1.0,71.53790211979558,67.32475782505857,0.0,74.62537760326481,0.0,0.0
14,1.0,59.77644913269845,73.60268584985967,1.0,4.0,71.21208134026794,0.0,60.25576466455587,0.0,62.81497240149137,0.0
15,0.0,0.0,63.118071359044286,2.0,1.0,71.18121851196078,0.0,0.0,70.08540601388705,0.0,0.0
16,1.0,50.95799792662672,72.68238927084397,1.0,2.0,85.80860432284597,0.0,0.0,59.6497632387952,51.86742511309609,0.0
